iteration,model,mean_loss,std_loss
180,util,1.6222808748266037e-09,1.6382150093309822e-09
181,util,1.4580557473713173e-09,1.3860068646735913e-09
182,util,1.329756423319164e-09,1.3362452889503154e-09
183,util,1.1660526687967686e-09,1.0656434705070946e-09
184,util,1.0261354805186225e-09,1.0338169542022094e-09
185,util,9.268296284614674e-10,8.85899071324133e-10
186,util,9.226805114045944e-10,9.404657674181203e-10
187,util,8.273662733030394e-10,9.013258023172745e-10
188,util,6.810649722602946e-10,6.800021866225714e-10
189,util,6.980058362091056e-10,6.920584153677411e-10
190,util,6.286617596721472e-10,6.459388126959531e-10
191,util,5.627741957647467e-10,5.204813258692813e-10
192,util,5.515110537441387e-10,5.765822010051102e-10
193,util,4.5319027118691234e-10,4.4315103801434627e-10
194,util,4.075409487517331e-10,3.3269493485631674e-10
195,util,3.8910889242887295e-10,3.4645787931938476e-10
196,util,3.837787449610923e-10,3.643269166861284e-10
197,util,3.283744485490592e-10,2.917781314772384e-10
198,util,2.882647329020306e-10,2.5737904707313845e-10
199,util,2.8534046440933873e-10,2.601663548476045e-10
200,util,2.4588008859388893e-10,2.487921318959915e-10
201,util,2.2586733236100747e-10,2.099898986031588e-10
202,util,2.4800479466591383e-10,2.6239439844565305e-10
203,util,2.1671836932808636e-10,2.075275981567778e-10
204,util,1.965600906854697e-10,1.9441530260910952e-10
205,util,1.7365393934019175e-10,1.5661219478854045e-10
206,util,1.481939395937132e-10,1.3860780544333228e-10
207,util,1.3003029176254426e-10,1.2556410762172193e-10
208,util,1.085571188616432e-10,9.135007466030476e-11
209,util,1.0427756538789433e-10,1.0324651959398912e-10
210,util,9.518895654559225e-11,8.317934992615174e-11
211,util,7.962308392551312e-11,7.099418628558684e-11
212,util,8.671557689060106e-11,7.695227884793461e-11
213,util,8.080351529226562e-11,7.711306204606582e-11
214,util,7.349002355608574e-11,7.293704015088619e-11
215,util,6.53290317090445e-11,7.075660707419076e-11
216,util,6.326587469510612e-11,9.776238835144986e-11
217,util,5.3557846184252095e-11,9.24351962485938e-11
218,util,4.2541226941828065e-11,5.444748058894263e-11
219,util,3.2964038676363996e-11,3.77588857779583e-11
220,util,3.07323643619563e-11,3.2118360968913136e-11
221,util,2.6371436031945434e-11,2.4289191488747474e-11
222,util,2.6883292036033276e-11,2.9176315327083327e-11
223,util,2.5168662945874305e-11,2.4200524267704355e-11
224,util,2.417405907612427e-11,2.2503730967618766e-11
225,util,2.201892167512029e-11,2.194919943314718e-11
226,util,1.8311384243539867e-11,1.870008694437636e-11
227,util,1.6540611932832097e-11,1.932475439746444e-11
228,util,1.463539396742491e-11,2.0920905668721496e-11
229,util,1.1564981057770977e-11,1.4781048845377132e-11
230,util,1.032442477478634e-11,1.179316377804185e-11
231,util,8.885064909325507e-12,1.1223783532480887e-11
232,util,8.701764002828732e-12,1.0799592117945864e-11
233,util,7.2643116446892116e-12,6.941321249401319e-12
234,util,7.803758365650178e-12,8.487303781729313e-12
235,util,6.8936529690549684e-12,6.532615422533294e-12
236,util,6.305876822432547e-12,6.299234764394249e-12
237,util,5.963335825322761e-12,6.400650812625039e-12
238,util,5.156809868378065e-12,5.607256538861135e-12
239,util,4.186208456796235e-12,4.332954164157337e-12
240,util,4.063698204751282e-12,5.108335581137776e-12
241,util,3.921433181701493e-12,5.407309454480422e-12
242,util,3.3241045438686495e-12,3.9176154386920406e-12
243,util,3.044139577321496e-12,2.809477513950993e-12
244,util,3.2514622278848332e-12,3.493108765056376e-12
245,util,3.0379666787153107e-12,3.2322245379497535e-12
246,util,2.5127060346975495e-12,3.0435112024990375e-12
247,util,2.479109980182189e-12,2.7881137736991996e-12
248,util,1.8745450371443264e-12,1.7358181840462804e-12
249,util,1.770939340528593e-12,1.632050669464318e-12
250,util,1.6599836811387065e-12,1.8183990776537441e-12
251,util,1.6274831399954585e-12,2.155221060673936e-12
252,util,1.4112587523936067e-12,2.0915008701569825e-12
253,util,1.4080529806211456e-12,2.2021402126474997e-12
254,util,1.264627917393435e-12,1.3937068261625736e-12
255,util,1.1554192566063524e-12,1.232868834250766e-12
256,util,9.583068798950986e-13,9.570638965520487e-13
257,util,8.916158757677314e-13,9.58822650733093e-13
258,util,7.688755815651139e-13,9.2008064085109e-13
259,util,6.285829245957188e-13,7.516088696544982e-13
260,util,5.892554739099889e-13,6.990292740614737e-13
261,util,5.643709335622032e-13,8.055608383464432e-13
262,util,4.960226917345455e-13,7.602030929379114e-13
263,util,4.741853667886564e-13,7.493105515547691e-13
264,util,4.4861508101604046e-13,7.273163867181198e-13
265,util,3.9340153700885096e-13,4.658227777591392e-13
266,util,3.348614441702683e-13,3.664109378491629e-13
267,util,3.2758245122685915e-13,3.7580039750123485e-13
268,util,2.731436153248688e-13,3.052199706737221e-13
269,util,2.1695076349250817e-13,2.534467101878687e-13
270,util,2.086582053562317e-13,2.683242475875269e-13
271,util,2.0489986942510867e-13,3.8722887854954905e-13
272,util,1.863784586293184e-13,3.4338402731730796e-13
273,util,1.3760483397407204e-13,1.5970497651458877e-13
274,util,1.3945224614583947e-13,1.7269262401994647e-13
275,util,1.1857753203002672e-13,1.3859251881224149e-13
276,util,9.937474419283735e-14,1.3372759191469057e-13
277,util,9.748324803251137e-14,1.1495957659250996e-13
278,util,8.883058646055943e-14,1.0178854000555551e-13
279,util,8.048374514742028e-14,8.83042129768819e-14
280,util,6.548749984606745e-14,6.81328826104473e-14
281,util,6.357130122979632e-14,7.710365412417373e-14
282,util,6.54147335812622e-14,7.930561320153593e-14
283,util,5.567308124385562e-14,6.829823471755512e-14
284,util,4.3676081294344005e-14,4.749015713447039e-14
285,util,4.1999413463983545e-14,4.6824818456102557e-14
286,util,3.4818236400292894e-14,4.0239100119560654e-14
287,util,3.526491596977395e-14,4.3312310464281234e-14
288,util,3.001390803485898e-14,3.5730760724337313e-14
289,util,2.8416459016036546e-14,3.098913129435661e-14
290,util,2.646681466804931e-14,3.059328549050801e-14
291,util,2.3304830251157182e-14,2.245066499702318e-14
292,util,2.405335195172642e-14,2.3975374207872285e-14
293,util,2.3067080578036937e-14,2.521983249307308e-14
294,util,1.9700444964753483e-14,2.0748524815604524e-14
295,util,1.9030170951939526e-14,1.7711991245132325e-14
296,util,1.7668181734499476e-14,1.736479449632737e-14
297,util,1.606185087805451e-14,1.482331712302083e-14
298,util,1.543834492927737e-14,1.6317365863795072e-14
299,util,1.6852352855541132e-14,1.5204113006166073e-14
300,util,1.4936316082119926e-14,1.3078710069004606e-14
301,util,1.383932323329257e-14,1.3677410973517886e-14
302,util,1.3494159466616617e-14,1.1625201620060431e-14
303,util,1.314652088902054e-14,1.2770709198621034e-14
304,util,1.2872596539000815e-14,1.2238106802648927e-14
305,util,1.1957148240704657e-14,1.1577740147395428e-14
306,util,1.212143811780879e-14,1.1428371784508146e-14
307,util,1.1428890161442545e-14,1.1292318321687145e-14
308,util,1.0351973928968486e-14,8.735047559151449e-15
309,util,9.59841001895298e-15,7.731958252008058e-15
310,util,8.847806753146927e-15,7.809340470282771e-15
311,util,8.644635965192133e-15,7.895508015882948e-15
312,util,8.714394941484725e-15,7.43801070162557e-15
313,util,7.880178007279876e-15,6.3071753336918976e-15
314,util,8.064521273329931e-15,6.784953429377122e-15
315,util,8.003736507449155e-15,7.19824453275471e-15
316,util,7.96395354755437e-15,7.922793788178056e-15
317,util,7.25727349889569e-15,5.898448921531601e-15
318,util,6.983719139211802e-15,6.219622526894465e-15
319,util,6.969656341696302e-15,6.228745545925123e-15
320,util,6.928716848425096e-15,5.71293541848689e-15
321,util,5.999367681219251e-15,4.87296230545849e-15
322,util,6.343051098821288e-15,5.477661404961365e-15
323,util,6.137983646271531e-15,5.450229946704293e-15
324,util,5.4981019752963904e-15,4.996230472780277e-15
325,util,5.905808243613679e-15,5.244239642589168e-15
326,util,5.701249658382344e-15,5.0207217784896e-15
