health,social,grades
0.5646056235207999,0.11921522730755223,0.3161791491716479
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5662933934112571,0.11658230627843898,0.3171243003103039
0.5679487126805614,0.11400000821832433,0.3180512791011143
0.5679487126805614,0.11400000821832433,0.3180512791011143
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5695719929775707,0.11146769095498987,0.31896031606743946
0.5711636503090048,0.10898470551795252,0.3198516441730426
0.5711636503090048,0.10898470551795252,0.3198516441730426
0.5711636503090048,0.10898470551795252,0.3198516441730426
0.5711636503090048,0.10898470551795252,0.3198516441730426
0.5711636503090048,0.10898470551795252,0.3198516441730426
0.5727241045058199,0.10655039697092113,0.32072549852325904
0.5727241045058199,0.10655039697092113,0.32072549852325904
0.5727241045058199,0.10655039697092113,0.32072549852325904
0.5727241045058199,0.10655039697092113,0.32072549852325904
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5742537787079043,0.10416410521566934,0.32158211607642634
0.5757530988671203,0.10182516576729228,0.3224217353655873
0.5757530988671203,0.10182516576729228,0.3224217353655873
0.5757530988671203,0.10182516576729228,0.3224217353655873
0.5772224932686626,0.09953291050088632,0.323244596230451
0.5786623920706676,0.09728666836975859,0.3240509395595738
0.5786623920706676,0.09728666836975859,0.3240509395595738
0.5786623920706676,0.09728666836975859,0.3240509395595738
