util_2,util_1
0.7335506189115081,0.2664493810884918
0.738469739034466,0.261530260965534
0.7433298200801919,0.25667017991980806
0.7481303891196625,0.25186961088033755
0.752871022406075,0.24712897759392505
0.752871022406075,0.24712897759392505
0.757551344637957,0.24244865536204302
0.7621710281612973,0.2378289718387027
0.7621710281612973,0.2378289718387027
0.7667297921147159,0.23327020788528405
0.7712274015217109,0.22877259847828912
0.7712274015217109,0.22877259847828912
0.7756636663340216,0.22433633366597833
0.7756636663340216,0.22433633366597833
0.7800384404301373,0.2199615595698627
0.7843516205729467,0.21564837942705334
0.7886031453304866,0.2113968546695134
0.7927929939636853,0.20720700603631467
0.7969211852849304,0.20307881471506964
0.7969211852849304,0.20307881471506964
0.7969211852849304,0.20307881471506964
0.7969211852849304,0.20307881471506964
0.8009877764912077,0.19901222350879227
0.8049928619754688,0.19500713802453118
0.8049928619754688,0.19500713802453118
0.8089365721197801,0.19106342788021985
0.8089365721197801,0.19106342788021985
0.8128190720737006,0.18718092792629934
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.8204012684394345,0.17959873156056555
0.8204012684394345,0.17959873156056555
0.8204012684394345,0.17959873156056555
0.8204012684394345,0.17959873156056555
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8277414205810112,0.17225857941898884
0.8313214769977142,0.16867852300228578
0.8348419747788645,0.1651580252211355
0.8348419747788645,0.1651580252211355
0.8348419747788645,0.1651580252211355
0.8348419747788645,0.1651580252211355
0.8348419747788645,0.1651580252211355
0.8383032876670514,0.1616967123329486
0.8417058142399044,0.1582941857600956
0.845049976689571,0.154950023310429
0.845049976689571,0.154950023310429
0.8483362196146803,0.15166378038531958
0.8515650088267435,0.14843499117325654
0.8547368301727973,0.14526316982720264
0.8578521883759647,0.14214781162403525
0.8578521883759647,0.14214781162403525
0.8609116058954591,0.13908839410454094
0.8609116058954591,0.13908839410454094
0.8609116058954591,0.13908839410454094
0.8639156218074346,0.1360843781925654
0.8668647907079476,0.1331352092920524
0.8668647907079476,0.1331352092920524
0.8697596816391682,0.13024031836083189
0.8726008770398584,0.12739912296014155
0.8753889717210144,0.12461102827898561
0.8753889717210144,0.12461102827898561
0.8753889717210144,0.12461102827898561
0.8781245718674506,0.12187542813254944
0.8781245718674506,0.12187542813254944
0.8808082940660005,0.11919170593399957
0.8834407643608957,0.11655923563910427
0.8834407643608957,0.11655923563910427
0.8860226173367891,0.11397738266321089
0.8885544952297871,0.11144550477021284
0.8885544952297871,0.11144550477021284
0.8885544952297871,0.11144550477021284
0.8910370470667701,0.10896295293322994
